Video, Frame ID, hole count, invalid_percentage, speckle_percentage, incomplete, time_spent_ms, mode
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 2379, 14.6987, 71.3653, 0, 205, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 2311, 13.8266, 76.2255, 0, 205, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 2383, 13.3215, 73.9907, 0, 206, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 2330, 13.5231, 70.781, 0, 204, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,4, 2309, 12.4991, 67.2496, 0, 204, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,5, 2359, 15.6933, 65.7215, 1, 206, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,6, 2174, 11.2728, 78.8056, 0, 206, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,7, 2242, 10.2926, 83.3809, 0, 204, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,8, 2204, 10.1554, 84.6015, 0, 204, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,9, 2104, 9.69691, 81.4717, 0, 204, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,10, 2075, 9.79648, 83.9123, 0, 202, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,11, 2195, 9.40586, 89.3354, 0, 204, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,12, 2117, 9.41111, 89.1064, 0, 204, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,13, 2195, 9.68466, 89.7785, 0, 200, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,14, 2152, 9.85622, 90.7957, 0, 202, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,15, 2060, 9.7468, 87.6607, 0, 203, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,16, 2166, 9.71748, 87.4212, 0, 207, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,17, 2236, 10.2403, 90.3249, 0, 219, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,18, 2153, 9.60565, 91.8625, 0, 221, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,19, 2313, 10.1549, 90.9585, 0, 223, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,20, 2285, 10.0337, 89.6857, 0, 221, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,21, 2269, 9.83281, 86.7762, 0, 221, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,22, 2192, 9.74505, 89.6804, 0, 221, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,23, 2390, 9.62491, 86.0075, 0, 221, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,24, 2246, 9.50061, 87.9191, 0, 219, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,25, 2223, 9.35946, 89.7238, 0, 252, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,26, 2287, 9.4947, 90.8825, 0, 232, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,27, 2255, 9.47457, 88.3518, 0, 223, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,28, 2263, 10.1731, 89.4405, 0, 220, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,29, 2371, 9.86957, 90.1583, 0, 252, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,30, 2390, 9.94529, 83.9195, 0, 260, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,31, 2278, 9.82843, 89.2523, 0, 233, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,32, 2230, 9.56408, 87.3295, 0, 284, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,33, 2256, 9.92932, 88.6202, 0, 238, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,34, 2348, 10.0013, 82.9632, 0, 225, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,35, 2248, 9.46888, 88.6125, 0, 257, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,36, 2210, 9.81793, 90.0565, 0, 255, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,37, 2339, 10.0274, 87.7464, 0, 228, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,38, 2332, 9.69625, 87.9439, 0, 221, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,39, 2371, 10.9417, 88.7628, 0, 221, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,40, 2391, 9.99059, 90.768, 0, 219, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,41, 2283, 9.1671, 86.2384, 0, 268, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,42, 2342, 9.61747, 89.8755, 0, 228, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,43, 2235, 9.49886, 89.1222, 0, 219, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,44, 2352, 9.74024, 88.0691, 0, 215, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,45, 2332, 9.6341, 88.9967, 0, 214, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,46, 2319, 9.61857, 87.5693, 0, 244, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,47, 2419, 9.65708, 88.7361, 0, 223, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,48, 2365, 10.2394, 87.1415, 0, 219, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,49, 2394, 10.1913, 86.9583, 0, 216, SGBM
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 2730, 13.9174, 76.956, 0, 66, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 2734, 13.0823, 75.6111, 0, 67, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 2728, 12.5551, 71.662, 0, 67, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 2726, 12.4845, 75.7272, 0, 53, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,4, 2595, 11.8575, 72.5767, 0, 51, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,5, 2603, 15.1346, 65.6353, 1, 51, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,6, 2551, 10.7366, 75.9579, 0, 52, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,7, 2428, 9.84966, 82.3902, 0, 53, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,8, 2469, 9.78663, 86.1581, 0, 53, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,9, 2424, 9.32445, 87.402, 0, 52, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,10, 2301, 9.51352, 87.2433, 0, 54, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,11, 2489, 9.2402, 90.7495, 0, 53, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,12, 2385, 9.16754, 85.9549, 0, 54, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,13, 2521, 9.40804, 86.8237, 0, 54, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,14, 2446, 9.51527, 89.28, 0, 68, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,15, 2444, 9.57042, 89.8532, 0, 68, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,16, 2493, 9.61616, 90.8758, 0, 54, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,17, 2567, 10.1092, 88.6735, 0, 54, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,18, 2542, 9.49842, 91.5646, 0, 70, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,19, 2650, 10.0823, 90.2198, 0, 54, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,20, 2611, 9.87833, 88.3457, 0, 62, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,21, 2659, 9.65052, 89.2516, 0, 54, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,22, 2497, 9.48683, 90.0664, 0, 79, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,23, 2719, 9.51768, 85.8283, 0, 70, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,24, 2537, 9.21744, 90.3929, 0, 54, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,25, 2569, 9.11918, 88.298, 0, 63, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,26, 2660, 9.31701, 90.325, 0, 57, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,27, 2577, 9.12377, 87.2553, 0, 68, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,28, 2593, 9.87833, 87.6939, 0, 55, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,29, 2680, 9.62995, 85.6235, 0, 63, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,30, 2710, 9.71485, 87.0226, 0, 77, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,31, 2594, 9.6282, 88.4289, 0, 57, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,32, 2662, 9.33999, 86.6348, 0, 68, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,33, 2596, 9.68269, 89.2785, 0, 57, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,34, 2756, 9.85994, 81.5089, 0, 67, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,35, 2566, 9.21284, 88.2225, 0, 61, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,36, 2597, 9.54526, 89.5373, 0, 77, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,37, 2598, 9.97002, 85.7736, 0, 68, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,38, 2695, 9.56342, 90.1439, 0, 54, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,39, 2744, 10.9322, 88.2072, 0, 54, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,40, 2801, 9.81815, 90.0473, 0, 55, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,41, 2640, 9.07322, 89.0233, 0, 67, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,42, 2686, 9.27652, 88.9922, 0, 55, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,43, 2566, 9.35246, 86.7273, 0, 67, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,44, 2696, 9.54154, 85.6701, 0, 71, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,45, 2633, 9.2914, 88.7448, 0, 69, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,46, 2672, 9.33889, 89.6048, 0, 73, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,47, 2736, 9.42117, 88.4628, 0, 71, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,48, 2814, 9.69888, 87.5741, 0, 54, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,49, 2720, 9.80655, 86.5824, 0, 69, SGBM_3WAY
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 2171, 15.2013, 77.3112, 0, 308, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 2126, 14.2743, 77.4418, 0, 297, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 2204, 13.7419, 71.98, 0, 294, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 2123, 13.7353, 68.6947, 0, 292, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,4, 2060, 12.7755, 78.5927, 0, 294, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,5, 2219, 15.9316, 63.4624, 1, 293, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,6, 2063, 11.3343, 76.7695, 0, 292, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,7, 2008, 10.5274, 82.1086, 0, 292, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,8, 2053, 10.3173, 81.328, 0, 292, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,9, 2079, 9.93785, 86.4119, 0, 294, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,10, 1924, 9.84594, 86.328, 0, 295, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,11, 1984, 9.69538, 89.8193, 0, 295, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,12, 1987, 9.54197, 89.2959, 0, 293, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,13, 2011, 9.76387, 87.1135, 0, 296, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,14, 1948, 9.91334, 91.555, 0, 300, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,15, 1944, 9.70129, 89.7824, 0, 297, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,16, 1986, 9.78663, 90.793, 0, 298, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,17, 2037, 10.3806, 90.0016, 0, 303, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,18, 1938, 9.67196, 90.3409, 0, 311, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,19, 2078, 10.1276, 90.9604, 0, 319, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,20, 2040, 10.1547, 89.0108, 0, 333, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,21, 2038, 9.84047, 87.2894, 0, 334, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,22, 1936, 9.77263, 89.547, 0, 333, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,23, 2224, 9.62207, 88.442, 0, 328, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,24, 2103, 9.46976, 90.5398, 0, 329, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,25, 2074, 9.3901, 90.1915, 0, 328, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,26, 2138, 9.64461, 90.9666, 0, 329, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,27, 2071, 9.47173, 88.9345, 0, 330, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,28, 2030, 10.4944, 88.332, 0, 325, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,29, 2165, 9.91903, 85.8928, 0, 326, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,30, 2183, 10.1007, 88.2625, 0, 330, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,31, 2108, 9.95011, 84.6054, 0, 327, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,32, 2103, 9.48136, 83.594, 0, 327, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,33, 2067, 9.93501, 84.107, 0, 327, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,34, 2106, 10.1917, 83.2593, 0, 329, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,35, 2043, 9.54416, 89.2828, 0, 332, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,36, 2099, 9.86169, 88.306, 0, 282, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,37, 2084, 10.174, 89.5556, 0, 290, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,38, 2199, 9.65621, 90.369, 0, 288, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,39, 2155, 11.0675, 88.1785, 0, 291, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,40, 2222, 9.90809, 87.9606, 0, 286, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,41, 2131, 9.19927, 89.3504, 0, 297, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,42, 2153, 9.65818, 89.9885, 0, 295, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,43, 2090, 9.51068, 91.2614, 0, 293, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,44, 2166, 9.97505, 87.2272, 0, 298, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,45, 2133, 9.88095, 89.0317, 0, 295, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,46, 2140, 9.83325, 84.8819, 0, 295, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,47, 2248, 9.65489, 88.147, 0, 294, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,48, 2209, 10.2451, 88.3284, 0, 296, HH
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,49, 2188, 10.214, 87.6138, 0, 298, HH
