Video, Frame ID, hole count, invalid_percentage, incomplete, consitensy_level, time_spent_ms,  Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 329, 41.1391, 0, 60,94, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 381, 38.6372, 0, 60,98, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 397, 38.5774, 0, 60,98, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 396, 38.2063, 0, 60,104, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,4, 354, 37.7066, 0, 60,94, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,5, 138, 79.5706, 1, 0,102, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,6, 351, 35.0726, 0, 60,103, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,7, 355, 34.0957, 0, 60,95, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,8, 354, 33.5008, 0, 60,93, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,9, 382, 31.9311, 0, 60,97, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,10, 336, 30.0127, 0, 60,100, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,11, 348, 29.9068, 0, 60,94, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,12, 337, 29.107, 0, 60,104, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,13, 331, 28.299, 0, 60,106, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,14, 355, 27.2125, 0, 60,106, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,15, 329, 26.6832, 0, 60,106, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,16, 378, 26.4499, 0, 60,93, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,17, 361, 25.415, 0, 60,103, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,18, 341, 24.7233, 0, 60,95, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,19, 362, 25.4086, 0, 60,97, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,20, 337, 25.3404, 0, 60,105, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,21, 360, 24.3708, 0, 60,102, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,22, 328, 25.4831, 0, 60,99, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,23, 373, 24.7222, 0, 60,99, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,24, 348, 25.8721, 0, 60,100, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,25, 322, 26.2468, 0, 60,96, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,26, 355, 25.2496, 0, 60,95, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,27, 319, 26.6226, 0, 60,106, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,28, 308, 27.3344, 0, 60,100, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,29, 309, 27.4862, 0, 60,93, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,30, 328, 27.0763, 0, 60,104, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,31, 356, 26.9267, 0, 60,98, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,32, 322, 26.708, 0, 60,85, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,33, 326, 26.636, 0, 60,99, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,34, 326, 27.4574, 0, 60,93, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,35, 363, 26.9034, 0, 60,104, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,36, 349, 27.63, 0, 60,98, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,37, 339, 26.6612, 0, 60,74, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,38, 336, 27.3764, 0, 60,77, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,39, 341, 27.6971, 0, 60,62, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,40, 376, 26.4702, 0, 60,62, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,41, 303, 26.4374, 0, 60,62, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,42, 356, 26.387, 0, 60,62, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,43, 352, 26.9328, 0, 60,73, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,44, 333, 28.4519, 0, 60,79, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,45, 327, 27.1678, 0, 75,83, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,46, 360, 27.9848, 0, 75,77, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,47, 321, 28.1191, 0, 75,62, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,48, 332, 27.6524, 0, 75,66, Consistensy
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,49, 340, 27.9607, 0, 75,62, Consistensy
