Video, Frame ID, hole count, invalid_percentage, incomplete, consitensy_level, time_spent_ms,  Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 11, 39.2035, 0, 100,839, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 10, 36.8676, 0, 100,863, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 13, 37.3211, 0, 100,857, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 8, 36.2011, 0, 100,868, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,4, 8, 35.3625, 0, 100,888, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,5, 6, 94.4925, 1, 100,673, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,6, 15, 33.4049, 0, 100,918, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,7, 9, 32.493, 0.5, 100,954, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,8, 13, 31.7262, 0.5, 100,929, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,9, 12, 29.0551, 0, 100,948, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,10, 14, 27.6361, 0, 100,952, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,11, 17, 27.4877, 0, 100,965, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,12, 15, 25.8903, 0.5, 100,963, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,13, 18, 25.0669, 0.5, 100,971, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,14, 23, 24.4258, 0.5, 100,1003, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,15, 15, 23.5601, 0.5, 100,989, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,16, 17, 23.6869, 0.5, 100,994, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,17, 18, 22.7807, 0.5, 100,993, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,18, 24, 21.5589, 0, 100,990, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,19, 35, 22.5815, 0, 100,987, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,20, 34, 21.8138, 0.5, 100,1047, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,21, 20, 20.7785, 0.5, 100,997, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,22, 22, 22.8781, 0.5, 100,989, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,23, 18, 21.5832, 0, 100,998, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,24, 21, 22.8532, 0, 100,992, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,25, 27, 23.8106, 0.5, 100,1010, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,26, 16, 23.2582, 0.5, 100,987, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,27, 19, 23.8449, 0.5, 100,990, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,28, 22, 25.1425, 0, 100,1005, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,29, 21, 25.5996, 0, 100,1043, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,30, 23, 25.4347, 0, 100,987, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,31, 19, 25.2232, 0, 100,999, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,32, 25, 24.7527, 0, 100,1083, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,33, 13, 24.6227, 0, 100,1009, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,34, 14, 25.4768, 0, 100,983, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,35, 17, 24.5592, 0, 100,983, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,36, 12, 25.846, 0, 100,992, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,37, 19, 23.7752, 0, 100,999, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,38, 20, 25.2644, 0.5, 100,998, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,39, 23, 25.2471, 0, 100,975, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,40, 11, 24.3816, 0.5, 100,1053, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,41, 25, 23.9283, 0, 100,970, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,42, 17, 23.6071, 0, 100,968, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,43, 14, 24.7271, 0, 100,961, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,44, 21, 26.044, 0, 100,961, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,45, 22, 24.9877, 0, 100,957, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,46, 16, 25.5208, 0, 100,1012, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,47, 19, 25.6589, 0, 100,954, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,48, 21, 24.6759, 0, 100,954, Consistensy_weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,49, 22, 25.0586, 0, 100,971, Consistensy_weighted_median
